card_key,card_name,card_type,release_key,source_provider,source_url,source_retrieved_at,verification_source,notes
onepiece:don:prb01:ace,"DON!! Card (Ace)",Don,onepiece-en-prb-01,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb01.php,2026-09-23,onepiece.gg product page (count/gold-tier cross-check),"One of 3 individually named designs out of 30 total confirmed for PRB-01. No official collector number exists for DON!! cards; card_key is a deterministic supplemental identity, not an invented number."
onepiece:don:prb01:luffy,"DON!! Card (Luffy)",Don,onepiece-en-prb-01,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb01.php,2026-09-23,onepiece.gg product page (count/gold-tier cross-check),"One of 3 individually named designs out of 30 total confirmed for PRB-01."
onepiece:don:prb01:sabo,"DON!! Card (Sabo)",Don,onepiece-en-prb-01,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb01.php,2026-09-23,onepiece.gg product page (count/gold-tier cross-check),"One of 3 individually named designs out of 30 total confirmed for PRB-01."
onepiece:don:prb02:marshall-d-teach,"DON!! Card (Marshall.D.Teach)",Don,onepiece-en-prb-02,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb02.php,2026-09-23,"Beckett/GameNerdz/TCGplayer/onepiece.gg/japan-figure/samuraiswordtokyo/ultimasupply (converging name list)","One of 10 individually named Super Alt-Art designs out of 30 total confirmed for PRB-02."
onepiece:don:prb02:monkey-d-dragon,"DON!! Card (Monkey.D.Dragon)",Don,onepiece-en-prb-02,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb02.php,2026-09-23,"Beckett/GameNerdz/TCGplayer/onepiece.gg/japan-figure/samuraiswordtokyo/ultimasupply (converging name list)","One of 10 individually named Super Alt-Art designs out of 30 total confirmed for PRB-02."
onepiece:don:prb02:monkey-d-luffy-gear4,"DON!! Card (Monkey.D.Luffy, Gear 4)",Don,onepiece-en-prb-02,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb02.php,2026-09-23,"Beckett/GameNerdz/TCGplayer/onepiece.gg/japan-figure/samuraiswordtokyo/ultimasupply (converging name list)","One of 10 individually named Super Alt-Art designs out of 30 total confirmed for PRB-02."
onepiece:don:prb02:monkey-d-luffy-gear5,"DON!! Card (Monkey.D.Luffy, Gear 5)",Don,onepiece-en-prb-02,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb02.php,2026-09-23,"Beckett/GameNerdz/TCGplayer/onepiece.gg/japan-figure/samuraiswordtokyo/ultimasupply (converging name list)","One of 10 individually named Super Alt-Art designs out of 30 total confirmed for PRB-02."
onepiece:don:prb02:yamato,"DON!! Card (Yamato)",Don,onepiece-en-prb-02,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb02.php,2026-09-23,"Beckett/GameNerdz/TCGplayer/onepiece.gg/japan-figure/samuraiswordtokyo/ultimasupply (converging name list)","One of 10 individually named Super Alt-Art designs out of 30 total confirmed for PRB-02."
onepiece:don:prb02:lim,"DON!! Card (Lim)",Don,onepiece-en-prb-02,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb02.php,2026-09-23,"Beckett/GameNerdz/TCGplayer/onepiece.gg/japan-figure/samuraiswordtokyo/ultimasupply (converging name list)","One of 10 individually named Super Alt-Art designs out of 30 total confirmed for PRB-02."
onepiece:don:prb02:rob-lucci,"DON!! Card (Rob Lucci)",Don,onepiece-en-prb-02,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb02.php,2026-09-23,"Beckett/GameNerdz/TCGplayer/onepiece.gg/japan-figure/samuraiswordtokyo/ultimasupply (converging name list)","One of 10 individually named Super Alt-Art designs out of 30 total confirmed for PRB-02."
onepiece:don:prb02:boa-hancock,"DON!! Card (Boa Hancock)",Don,onepiece-en-prb-02,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb02.php,2026-09-23,"Beckett/GameNerdz/TCGplayer/onepiece.gg/japan-figure/samuraiswordtokyo/ultimasupply (converging name list)","One of 10 individually named Super Alt-Art designs out of 30 total confirmed for PRB-02."
onepiece:don:prb02:dr-vegapunk,"DON!! Card (Dr. Vegapunk)",Don,onepiece-en-prb-02,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb02.php,2026-09-23,"Beckett/GameNerdz/TCGplayer/onepiece.gg/japan-figure/samuraiswordtokyo/ultimasupply (converging name list)","One of 10 individually named Super Alt-Art designs out of 30 total confirmed for PRB-02."
onepiece:don:prb02:foxy,"DON!! Card (Foxy)",Don,onepiece-en-prb-02,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb02.php,2026-09-23,"Beckett/GameNerdz/TCGplayer/onepiece.gg/japan-figure/samuraiswordtokyo/ultimasupply (converging name list)","One of 10 individually named Super Alt-Art designs out of 30 total confirmed for PRB-02. Foxy is the only one of the 10 explicitly confirmed with BOTH a Normal and a Super Alt-Art printing -- see variants file."
onepiece:don:eb03:heroines-promo,"Promotion DON!! Card (Heroines Special Set)",Don,onepiece-en-eb-03,onepiece-cardgame,https://en.onepiece-cardgame.com/products/heroines-special.html,2026-09-23,p-bandai.com/us product listing (confirms English/US availability),"Heroines Special Set / EB-03. Official page: 'Promotion DON!! Card: 1 type, 10pcs (Either the normal version or the Alt-Art version is included)'. No specific character/theme name given by the source beyond the set's own Heroines theming."
