card_key,variant_key,release_key,membership_type,source_provider,source_reference,notes
onepiece:don:prb01:ace,onepiece:don:prb01:ace:standard,onepiece-en-prb-01,primary_product,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb01.php,"Variant-level membership: this specific printing ships in PRB-01."
onepiece:don:prb01:luffy,onepiece:don:prb01:luffy:standard,onepiece-en-prb-01,primary_product,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb01.php,"Variant-level membership: this specific printing ships in PRB-01."
onepiece:don:prb01:sabo,onepiece:don:prb01:sabo:standard,onepiece-en-prb-01,primary_product,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb01.php,"Variant-level membership: this specific printing ships in PRB-01."
onepiece:don:prb02:marshall-d-teach,onepiece:don:prb02:marshall-d-teach:super-alt-art,onepiece-en-prb-02,primary_product,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb02.php,"Variant-level membership: this specific printing ships in PRB-02."
onepiece:don:prb02:monkey-d-dragon,onepiece:don:prb02:monkey-d-dragon:super-alt-art,onepiece-en-prb-02,primary_product,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb02.php,"Variant-level membership: this specific printing ships in PRB-02."
onepiece:don:prb02:monkey-d-luffy-gear4,onepiece:don:prb02:monkey-d-luffy-gear4:super-alt-art,onepiece-en-prb-02,primary_product,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb02.php,"Variant-level membership: this specific printing ships in PRB-02."
onepiece:don:prb02:monkey-d-luffy-gear5,onepiece:don:prb02:monkey-d-luffy-gear5:super-alt-art,onepiece-en-prb-02,primary_product,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb02.php,"Variant-level membership: this specific printing ships in PRB-02."
onepiece:don:prb02:yamato,onepiece:don:prb02:yamato:super-alt-art,onepiece-en-prb-02,primary_product,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb02.php,"Variant-level membership: this specific printing ships in PRB-02."
onepiece:don:prb02:lim,onepiece:don:prb02:lim:super-alt-art,onepiece-en-prb-02,primary_product,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb02.php,"Variant-level membership: this specific printing ships in PRB-02."
onepiece:don:prb02:rob-lucci,onepiece:don:prb02:rob-lucci:super-alt-art,onepiece-en-prb-02,primary_product,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb02.php,"Variant-level membership: this specific printing ships in PRB-02."
onepiece:don:prb02:boa-hancock,onepiece:don:prb02:boa-hancock:super-alt-art,onepiece-en-prb-02,primary_product,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb02.php,"Variant-level membership: this specific printing ships in PRB-02."
onepiece:don:prb02:dr-vegapunk,onepiece:don:prb02:dr-vegapunk:super-alt-art,onepiece-en-prb-02,primary_product,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb02.php,"Variant-level membership: this specific printing ships in PRB-02."
onepiece:don:prb02:foxy,onepiece:don:prb02:foxy:normal,onepiece-en-prb-02,primary_product,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb02.php,"Variant-level membership: Normal printing ships in PRB-02."
onepiece:don:prb02:foxy,onepiece:don:prb02:foxy:super-alt-art,onepiece-en-prb-02,primary_product,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb02.php,"Variant-level membership: Super Alt-Art printing ships in PRB-02."
onepiece:don:eb03:heroines-promo,onepiece:don:eb03:heroines-promo:normal,onepiece-en-eb-03,primary_product,onepiece-cardgame,https://en.onepiece-cardgame.com/products/heroines-special.html,"Variant-level membership: Normal printing ships in the Heroines Special Set / EB-03."
onepiece:don:eb03:heroines-promo,onepiece:don:eb03:heroines-promo:alt-art,onepiece-en-eb-03,primary_product,onepiece-cardgame,https://en.onepiece-cardgame.com/products/heroines-special.html,"Variant-level membership: Alt-Art printing ships in the Heroines Special Set / EB-03."
