card_key,variant_key,variant_type,variant_name,source_provider,source_url,verification_source,notes
onepiece:don:prb01:ace,onepiece:don:prb01:ace:standard,standard,Standard,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb01.php,onepiece.gg product page,"Confirmed as one of the 30 new PRB-01 designs. Gold-foil tier confirmed to exist in the product but NOT confirmed as applying to this specific design by either source -- not fabricated as a variant."
onepiece:don:prb01:luffy,onepiece:don:prb01:luffy:standard,standard,Standard,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb01.php,onepiece.gg product page,"Confirmed as one of the 30 new PRB-01 designs. Gold-foil tier confirmed to exist in the product but NOT confirmed as applying to this specific design by either source -- not fabricated as a variant."
onepiece:don:prb01:sabo,onepiece:don:prb01:sabo:standard,standard,Standard,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb01.php,onepiece.gg product page,"Confirmed as one of the 30 new PRB-01 designs. Gold-foil tier confirmed to exist in the product but NOT confirmed as applying to this specific design by either source -- not fabricated as a variant."
onepiece:don:prb02:marshall-d-teach,onepiece:don:prb02:marshall-d-teach:super-alt-art,super-alt-art,Super Alt-Art,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb02.php,"Beckett/GameNerdz/TCGplayer/onepiece.gg (converging)","Only the Super Alt-Art tier is explicitly confirmed for this design; a Normal/foil tier is not claimed."
onepiece:don:prb02:monkey-d-dragon,onepiece:don:prb02:monkey-d-dragon:super-alt-art,super-alt-art,Super Alt-Art,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb02.php,"Beckett/GameNerdz/TCGplayer/onepiece.gg (converging)","Only the Super Alt-Art tier is explicitly confirmed for this design."
onepiece:don:prb02:monkey-d-luffy-gear4,onepiece:don:prb02:monkey-d-luffy-gear4:super-alt-art,super-alt-art,Super Alt-Art,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb02.php,"Beckett/GameNerdz/TCGplayer/onepiece.gg (converging)","Only the Super Alt-Art tier is explicitly confirmed for this design."
onepiece:don:prb02:monkey-d-luffy-gear5,onepiece:don:prb02:monkey-d-luffy-gear5:super-alt-art,super-alt-art,Super Alt-Art,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb02.php,"Beckett/GameNerdz/TCGplayer/onepiece.gg (converging)","Only the Super Alt-Art tier is explicitly confirmed for this design."
onepiece:don:prb02:yamato,onepiece:don:prb02:yamato:super-alt-art,super-alt-art,Super Alt-Art,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb02.php,"Beckett/GameNerdz/TCGplayer/onepiece.gg (converging)","Only the Super Alt-Art tier is explicitly confirmed for this design."
onepiece:don:prb02:lim,onepiece:don:prb02:lim:super-alt-art,super-alt-art,Super Alt-Art,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb02.php,"Beckett/GameNerdz/TCGplayer/onepiece.gg (converging)","Only the Super Alt-Art tier is explicitly confirmed for this design."
onepiece:don:prb02:rob-lucci,onepiece:don:prb02:rob-lucci:super-alt-art,super-alt-art,Super Alt-Art,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb02.php,"Beckett/GameNerdz/TCGplayer/onepiece.gg (converging)","Only the Super Alt-Art tier is explicitly confirmed for this design."
onepiece:don:prb02:boa-hancock,onepiece:don:prb02:boa-hancock:super-alt-art,super-alt-art,Super Alt-Art,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb02.php,"Beckett/GameNerdz/TCGplayer/onepiece.gg (converging)","Only the Super Alt-Art tier is explicitly confirmed for this design."
onepiece:don:prb02:dr-vegapunk,onepiece:don:prb02:dr-vegapunk:super-alt-art,super-alt-art,Super Alt-Art,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb02.php,"Beckett/GameNerdz/TCGplayer/onepiece.gg (converging)","Only the Super Alt-Art tier is explicitly confirmed for this design."
onepiece:don:prb02:foxy,onepiece:don:prb02:foxy:normal,normal,Normal,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb02.php,"Beckett/GameNerdz/TCGplayer/onepiece.gg (converging)","Foxy is explicitly confirmed with both a Normal and a Super Alt-Art printing -- the only one of the 10 named PRB-02 designs with 2 confirmed tiers."
onepiece:don:prb02:foxy,onepiece:don:prb02:foxy:super-alt-art,super-alt-art,Super Alt-Art,onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb02.php,"Beckett/GameNerdz/TCGplayer/onepiece.gg (converging)","Foxy is explicitly confirmed with both a Normal and a Super Alt-Art printing."
onepiece:don:eb03:heroines-promo,onepiece:don:eb03:heroines-promo:normal,normal,Normal,onepiece-cardgame,https://en.onepiece-cardgame.com/products/heroines-special.html,p-bandai.com/us product listing,"Official contents line: 'Either the normal version or the Alt-Art version is included' -- both tiers confirmed to exist in the product."
onepiece:don:eb03:heroines-promo,onepiece:don:eb03:heroines-promo:alt-art,alt-art,Alt-Art,onepiece-cardgame,https://en.onepiece-cardgame.com/products/heroines-special.html,p-bandai.com/us product listing,"Official contents line confirms both Normal and Alt-Art tiers exist in the product."
