bucket_key,description,estimated_count,product,region,source_provider,source_url,notes
prb01-unnamed-remainder,"PRB-01 DON!! designs beyond the 3 individually named (Ace/Luffy/Sabo)",27,PRB-01,"EN (confirmed product, un-named designs)",onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb01.php,"30 total confirmed via official product page + onepiece.gg cross-check; only 3 individually named by any source found."
prb02-unnamed-remainder,"PRB-02 DON!! designs beyond the 10 individually named Super Alt-Art characters",20,PRB-02,"EN (confirmed product, un-named designs)",onepiece-cardgame,https://en.onepiece-cardgame.com/products/boosters/prb02.php,"30 total confirmed via official product page + 7 converging community sources; only 10 individually named."
dp12-unnamed,"DP-12 DON!! designs (2 total, 0 individually named)",2,DP-12,"EN (confirmed product, un-named designs)",onepiece-cardgame,https://en.onepiece-cardgame.com/products/dp12.html,"Official page + redcardgames.com distributor listing confirm existence/count (""DON!! Card x1 (2 types)""); neither names or images either design. Not linked to any release membership yet per explicit instruction."
asia-pdf-page-01,"Official Bandai Asia-EN DON!! Card List PDF, page 1 of 28 -- special/promotional character-art DON!! designs, no product/region text label anywhere in the source document",9,"(unknown -- Asia-region source, English applicability unconfirmed)","asia-en (source region; NOT confirmed applicable to English/US/EU/LatAm/Oceania market)",onepiece-cardgame,https://asia-en.onepiece-cardgame.com/pdf/don-cardlist.pdf?v=251121,"Page count directly reviewed. No index/legend exists anywhere in the 28-page document (confirmed by reviewing pages 1, 2, 20, and 28 directly) -- individual design identity/product/region cannot be determined without per-design external research."
asia-pdf-page-02,"Official Bandai Asia-EN DON!! Card List PDF, page 2 of 28 -- special/promotional character-art DON!! designs, no product/region text label anywhere in the source document",9,"(unknown -- Asia-region source, English applicability unconfirmed)","asia-en (source region; NOT confirmed applicable to English/US/EU/LatAm/Oceania market)",onepiece-cardgame,https://asia-en.onepiece-cardgame.com/pdf/don-cardlist.pdf?v=251121,"Page count directly reviewed. No index/legend exists anywhere in the 28-page document (confirmed by reviewing pages 1, 2, 20, and 28 directly) -- individual design identity/product/region cannot be determined without per-design external research."
asia-pdf-page-03,"Official Bandai Asia-EN DON!! Card List PDF, page 3 of 28 -- special/promotional character-art DON!! designs, no product/region text label anywhere in the source document",9,"(unknown -- Asia-region source, English applicability unconfirmed)","asia-en (source region; NOT confirmed applicable to English/US/EU/LatAm/Oceania market)",onepiece-cardgame,https://asia-en.onepiece-cardgame.com/pdf/don-cardlist.pdf?v=251121,"Page count estimated from grid layout (not individually re-confirmed). No index/legend exists anywhere in the 28-page document (confirmed by reviewing pages 1, 2, 20, and 28 directly) -- individual design identity/product/region cannot be determined without per-design external research."
asia-pdf-page-04,"Official Bandai Asia-EN DON!! Card List PDF, page 4 of 28 -- special/promotional character-art DON!! designs, no product/region text label anywhere in the source document",9,"(unknown -- Asia-region source, English applicability unconfirmed)","asia-en (source region; NOT confirmed applicable to English/US/EU/LatAm/Oceania market)",onepiece-cardgame,https://asia-en.onepiece-cardgame.com/pdf/don-cardlist.pdf?v=251121,"Page count estimated from grid layout (not individually re-confirmed). No index/legend exists anywhere in the 28-page document (confirmed by reviewing pages 1, 2, 20, and 28 directly) -- individual design identity/product/region cannot be determined without per-design external research."
asia-pdf-page-05,"Official Bandai Asia-EN DON!! Card List PDF, page 5 of 28 -- special/promotional character-art DON!! designs, no product/region text label anywhere in the source document",9,"(unknown -- Asia-region source, English applicability unconfirmed)","asia-en (source region; NOT confirmed applicable to English/US/EU/LatAm/Oceania market)",onepiece-cardgame,https://asia-en.onepiece-cardgame.com/pdf/don-cardlist.pdf?v=251121,"Page count estimated from grid layout (not individually re-confirmed). No index/legend exists anywhere in the 28-page document (confirmed by reviewing pages 1, 2, 20, and 28 directly) -- individual design identity/product/region cannot be determined without per-design external research."
asia-pdf-page-06,"Official Bandai Asia-EN DON!! Card List PDF, page 6 of 28 -- special/promotional character-art DON!! designs, no product/region text label anywhere in the source document",9,"(unknown -- Asia-region source, English applicability unconfirmed)","asia-en (source region; NOT confirmed applicable to English/US/EU/LatAm/Oceania market)",onepiece-cardgame,https://asia-en.onepiece-cardgame.com/pdf/don-cardlist.pdf?v=251121,"Page count estimated from grid layout (not individually re-confirmed). No index/legend exists anywhere in the 28-page document (confirmed by reviewing pages 1, 2, 20, and 28 directly) -- individual design identity/product/region cannot be determined without per-design external research."
asia-pdf-page-07,"Official Bandai Asia-EN DON!! Card List PDF, page 7 of 28 -- special/promotional character-art DON!! designs, no product/region text label anywhere in the source document",9,"(unknown -- Asia-region source, English applicability unconfirmed)","asia-en (source region; NOT confirmed applicable to English/US/EU/LatAm/Oceania market)",onepiece-cardgame,https://asia-en.onepiece-cardgame.com/pdf/don-cardlist.pdf?v=251121,"Page count estimated from grid layout (not individually re-confirmed). No index/legend exists anywhere in the 28-page document (confirmed by reviewing pages 1, 2, 20, and 28 directly) -- individual design identity/product/region cannot be determined without per-design external research."
asia-pdf-page-08,"Official Bandai Asia-EN DON!! Card List PDF, page 8 of 28 -- special/promotional character-art DON!! designs, no product/region text label anywhere in the source document",9,"(unknown -- Asia-region source, English applicability unconfirmed)","asia-en (source region; NOT confirmed applicable to English/US/EU/LatAm/Oceania market)",onepiece-cardgame,https://asia-en.onepiece-cardgame.com/pdf/don-cardlist.pdf?v=251121,"Page count estimated from grid layout (not individually re-confirmed). No index/legend exists anywhere in the 28-page document (confirmed by reviewing pages 1, 2, 20, and 28 directly) -- individual design identity/product/region cannot be determined without per-design external research."
asia-pdf-page-09,"Official Bandai Asia-EN DON!! Card List PDF, page 9 of 28 -- special/promotional character-art DON!! designs, no product/region text label anywhere in the source document",9,"(unknown -- Asia-region source, English applicability unconfirmed)","asia-en (source region; NOT confirmed applicable to English/US/EU/LatAm/Oceania market)",onepiece-cardgame,https://asia-en.onepiece-cardgame.com/pdf/don-cardlist.pdf?v=251121,"Page count estimated from grid layout (not individually re-confirmed). No index/legend exists anywhere in the 28-page document (confirmed by reviewing pages 1, 2, 20, and 28 directly) -- individual design identity/product/region cannot be determined without per-design external research."
asia-pdf-page-10,"Official Bandai Asia-EN DON!! Card List PDF, page 10 of 28 -- special/promotional character-art DON!! designs, no product/region text label anywhere in the source document",9,"(unknown -- Asia-region source, English applicability unconfirmed)","asia-en (source region; NOT confirmed applicable to English/US/EU/LatAm/Oceania market)",onepiece-cardgame,https://asia-en.onepiece-cardgame.com/pdf/don-cardlist.pdf?v=251121,"Page count estimated from grid layout (not individually re-confirmed). No index/legend exists anywhere in the 28-page document (confirmed by reviewing pages 1, 2, 20, and 28 directly) -- individual design identity/product/region cannot be determined without per-design external research."
asia-pdf-page-11,"Official Bandai Asia-EN DON!! Card List PDF, page 11 of 28 -- special/promotional character-art DON!! designs, no product/region text label anywhere in the source document",9,"(unknown -- Asia-region source, English applicability unconfirmed)","asia-en (source region; NOT confirmed applicable to English/US/EU/LatAm/Oceania market)",onepiece-cardgame,https://asia-en.onepiece-cardgame.com/pdf/don-cardlist.pdf?v=251121,"Page count estimated from grid layout (not individually re-confirmed). No index/legend exists anywhere in the 28-page document (confirmed by reviewing pages 1, 2, 20, and 28 directly) -- individual design identity/product/region cannot be determined without per-design external research."
asia-pdf-page-12,"Official Bandai Asia-EN DON!! Card List PDF, page 12 of 28 -- special/promotional character-art DON!! designs, no product/region text label anywhere in the source document",9,"(unknown -- Asia-region source, English applicability unconfirmed)","asia-en (source region; NOT confirmed applicable to English/US/EU/LatAm/Oceania market)",onepiece-cardgame,https://asia-en.onepiece-cardgame.com/pdf/don-cardlist.pdf?v=251121,"Page count estimated from grid layout (not individually re-confirmed). No index/legend exists anywhere in the 28-page document (confirmed by reviewing pages 1, 2, 20, and 28 directly) -- individual design identity/product/region cannot be determined without per-design external research."
asia-pdf-page-13,"Official Bandai Asia-EN DON!! Card List PDF, page 13 of 28 -- special/promotional character-art DON!! designs, no product/region text label anywhere in the source document",9,"(unknown -- Asia-region source, English applicability unconfirmed)","asia-en (source region; NOT confirmed applicable to English/US/EU/LatAm/Oceania market)",onepiece-cardgame,https://asia-en.onepiece-cardgame.com/pdf/don-cardlist.pdf?v=251121,"Page count estimated from grid layout (not individually re-confirmed). No index/legend exists anywhere in the 28-page document (confirmed by reviewing pages 1, 2, 20, and 28 directly) -- individual design identity/product/region cannot be determined without per-design external research."
asia-pdf-page-14,"Official Bandai Asia-EN DON!! Card List PDF, page 14 of 28 -- special/promotional character-art DON!! designs, no product/region text label anywhere in the source document",9,"(unknown -- Asia-region source, English applicability unconfirmed)","asia-en (source region; NOT confirmed applicable to English/US/EU/LatAm/Oceania market)",onepiece-cardgame,https://asia-en.onepiece-cardgame.com/pdf/don-cardlist.pdf?v=251121,"Page count estimated from grid layout (not individually re-confirmed). No index/legend exists anywhere in the 28-page document (confirmed by reviewing pages 1, 2, 20, and 28 directly) -- individual design identity/product/region cannot be determined without per-design external research."
asia-pdf-page-15,"Official Bandai Asia-EN DON!! Card List PDF, page 15 of 28 -- special/promotional character-art DON!! designs, no product/region text label anywhere in the source document",9,"(unknown -- Asia-region source, English applicability unconfirmed)","asia-en (source region; NOT confirmed applicable to English/US/EU/LatAm/Oceania market)",onepiece-cardgame,https://asia-en.onepiece-cardgame.com/pdf/don-cardlist.pdf?v=251121,"Page count estimated from grid layout (not individually re-confirmed). No index/legend exists anywhere in the 28-page document (confirmed by reviewing pages 1, 2, 20, and 28 directly) -- individual design identity/product/region cannot be determined without per-design external research."
asia-pdf-page-16,"Official Bandai Asia-EN DON!! Card List PDF, page 16 of 28 -- special/promotional character-art DON!! designs, no product/region text label anywhere in the source document",9,"(unknown -- Asia-region source, English applicability unconfirmed)","asia-en (source region; NOT confirmed applicable to English/US/EU/LatAm/Oceania market)",onepiece-cardgame,https://asia-en.onepiece-cardgame.com/pdf/don-cardlist.pdf?v=251121,"Page count estimated from grid layout (not individually re-confirmed). No index/legend exists anywhere in the 28-page document (confirmed by reviewing pages 1, 2, 20, and 28 directly) -- individual design identity/product/region cannot be determined without per-design external research."
asia-pdf-page-17,"Official Bandai Asia-EN DON!! Card List PDF, page 17 of 28 -- special/promotional character-art DON!! designs, no product/region text label anywhere in the source document",9,"(unknown -- Asia-region source, English applicability unconfirmed)","asia-en (source region; NOT confirmed applicable to English/US/EU/LatAm/Oceania market)",onepiece-cardgame,https://asia-en.onepiece-cardgame.com/pdf/don-cardlist.pdf?v=251121,"Page count estimated from grid layout (not individually re-confirmed). No index/legend exists anywhere in the 28-page document (confirmed by reviewing pages 1, 2, 20, and 28 directly) -- individual design identity/product/region cannot be determined without per-design external research."
asia-pdf-page-18,"Official Bandai Asia-EN DON!! Card List PDF, page 18 of 28 -- special/promotional character-art DON!! designs, no product/region text label anywhere in the source document",9,"(unknown -- Asia-region source, English applicability unconfirmed)","asia-en (source region; NOT confirmed applicable to English/US/EU/LatAm/Oceania market)",onepiece-cardgame,https://asia-en.onepiece-cardgame.com/pdf/don-cardlist.pdf?v=251121,"Page count estimated from grid layout (not individually re-confirmed). No index/legend exists anywhere in the 28-page document (confirmed by reviewing pages 1, 2, 20, and 28 directly) -- individual design identity/product/region cannot be determined without per-design external research."
asia-pdf-page-19,"Official Bandai Asia-EN DON!! Card List PDF, page 19 of 28 -- special/promotional character-art DON!! designs, no product/region text label anywhere in the source document",9,"(unknown -- Asia-region source, English applicability unconfirmed)","asia-en (source region; NOT confirmed applicable to English/US/EU/LatAm/Oceania market)",onepiece-cardgame,https://asia-en.onepiece-cardgame.com/pdf/don-cardlist.pdf?v=251121,"Page count estimated from grid layout (not individually re-confirmed). No index/legend exists anywhere in the 28-page document (confirmed by reviewing pages 1, 2, 20, and 28 directly) -- individual design identity/product/region cannot be determined without per-design external research."
asia-pdf-page-20,"Official Bandai Asia-EN DON!! Card List PDF, page 20 of 28 -- special/promotional character-art DON!! designs, no product/region text label anywhere in the source document",9,"(unknown -- Asia-region source, English applicability unconfirmed)","asia-en (source region; NOT confirmed applicable to English/US/EU/LatAm/Oceania market)",onepiece-cardgame,https://asia-en.onepiece-cardgame.com/pdf/don-cardlist.pdf?v=251121,"Page count directly reviewed. No index/legend exists anywhere in the 28-page document (confirmed by reviewing pages 1, 2, 20, and 28 directly) -- individual design identity/product/region cannot be determined without per-design external research."
asia-pdf-page-21,"Official Bandai Asia-EN DON!! Card List PDF, page 21 of 28 -- special/promotional character-art DON!! designs, no product/region text label anywhere in the source document",9,"(unknown -- Asia-region source, English applicability unconfirmed)","asia-en (source region; NOT confirmed applicable to English/US/EU/LatAm/Oceania market)",onepiece-cardgame,https://asia-en.onepiece-cardgame.com/pdf/don-cardlist.pdf?v=251121,"Page count estimated from grid layout (not individually re-confirmed). No index/legend exists anywhere in the 28-page document (confirmed by reviewing pages 1, 2, 20, and 28 directly) -- individual design identity/product/region cannot be determined without per-design external research."
asia-pdf-page-22,"Official Bandai Asia-EN DON!! Card List PDF, page 22 of 28 -- special/promotional character-art DON!! designs, no product/region text label anywhere in the source document",9,"(unknown -- Asia-region source, English applicability unconfirmed)","asia-en (source region; NOT confirmed applicable to English/US/EU/LatAm/Oceania market)",onepiece-cardgame,https://asia-en.onepiece-cardgame.com/pdf/don-cardlist.pdf?v=251121,"Page count estimated from grid layout (not individually re-confirmed). No index/legend exists anywhere in the 28-page document (confirmed by reviewing pages 1, 2, 20, and 28 directly) -- individual design identity/product/region cannot be determined without per-design external research."
asia-pdf-page-23,"Official Bandai Asia-EN DON!! Card List PDF, page 23 of 28 -- special/promotional character-art DON!! designs, no product/region text label anywhere in the source document",9,"(unknown -- Asia-region source, English applicability unconfirmed)","asia-en (source region; NOT confirmed applicable to English/US/EU/LatAm/Oceania market)",onepiece-cardgame,https://asia-en.onepiece-cardgame.com/pdf/don-cardlist.pdf?v=251121,"Page count estimated from grid layout (not individually re-confirmed). No index/legend exists anywhere in the 28-page document (confirmed by reviewing pages 1, 2, 20, and 28 directly) -- individual design identity/product/region cannot be determined without per-design external research."
asia-pdf-page-24,"Official Bandai Asia-EN DON!! Card List PDF, page 24 of 28 -- special/promotional character-art DON!! designs, no product/region text label anywhere in the source document",9,"(unknown -- Asia-region source, English applicability unconfirmed)","asia-en (source region; NOT confirmed applicable to English/US/EU/LatAm/Oceania market)",onepiece-cardgame,https://asia-en.onepiece-cardgame.com/pdf/don-cardlist.pdf?v=251121,"Page count estimated from grid layout (not individually re-confirmed). No index/legend exists anywhere in the 28-page document (confirmed by reviewing pages 1, 2, 20, and 28 directly) -- individual design identity/product/region cannot be determined without per-design external research."
asia-pdf-page-25,"Official Bandai Asia-EN DON!! Card List PDF, page 25 of 28 -- special/promotional character-art DON!! designs, no product/region text label anywhere in the source document",9,"(unknown -- Asia-region source, English applicability unconfirmed)","asia-en (source region; NOT confirmed applicable to English/US/EU/LatAm/Oceania market)",onepiece-cardgame,https://asia-en.onepiece-cardgame.com/pdf/don-cardlist.pdf?v=251121,"Page count estimated from grid layout (not individually re-confirmed). No index/legend exists anywhere in the 28-page document (confirmed by reviewing pages 1, 2, 20, and 28 directly) -- individual design identity/product/region cannot be determined without per-design external research."
