set_id,card_id,collector_number,card_name,card_type,rarity,source_provider,source_url,source_retrieved_at,verification_source,notes
rc,rc-RC1,RC1/RC25,Snivy,Pokemon,,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_(TCG),2026-09-22,pokellector.com/Radiant-Collection-Expansion,Legendary Treasures Radiant Collection subset (Nov 2013)
rc,rc-RC2,RC2/RC25,Servine,Pokemon,,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_(TCG),2026-09-22,pokellector.com/Radiant-Collection-Expansion,
rc,rc-RC3,RC3/RC25,Serperior,Pokemon,,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_(TCG),2026-09-22,pokellector.com/Radiant-Collection-Expansion,
rc,rc-RC4,RC4/RC25,Growlithe,Pokemon,,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_(TCG),2026-09-22,pokellector.com/Radiant-Collection-Expansion,
rc,rc-RC5,RC5/RC25,Torchic,Pokemon,,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_(TCG),2026-09-22,pokellector.com/Radiant-Collection-Expansion,
rc,rc-RC6,RC6/RC25,Piplup,Pokemon,,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_(TCG),2026-09-22,pokellector.com/Radiant-Collection-Expansion,
rc,rc-RC7,RC7/RC25,Pikachu,Pokemon,,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_(TCG),2026-09-22,pokellector.com/Radiant-Collection-Expansion,
rc,rc-RC8,RC8/RC25,Ralts,Pokemon,,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_(TCG),2026-09-22,pokellector.com/Radiant-Collection-Expansion,
rc,rc-RC9,RC9/RC25,Kirlia,Pokemon,,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_(TCG),2026-09-22,pokellector.com/Radiant-Collection-Expansion,
rc,rc-RC10,RC10/RC25,Gardevoir,Pokemon,,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_(TCG),2026-09-22,pokellector.com/Radiant-Collection-Expansion,
rc,rc-RC11,RC11/RC25,Meloetta-EX,Pokemon,,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_(TCG),2026-09-22,pokellector.com/Radiant-Collection-Expansion,"Two different Meloetta-EX printings exist in this subset (RC11 and RC25) — confirmed by both sources, not a duplicate-entry error"
rc,rc-RC12,RC12/RC25,Stunfisk,Pokemon,,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_(TCG),2026-09-22,pokellector.com/Radiant-Collection-Expansion,
rc,rc-RC13,RC13/RC25,Purrloin,Pokemon,,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_(TCG),2026-09-22,pokellector.com/Radiant-Collection-Expansion,
rc,rc-RC14,RC14/RC25,Eevee,Pokemon,,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_(TCG),2026-09-22,pokellector.com/Radiant-Collection-Expansion,
rc,rc-RC15,RC15/RC25,Teddiursa,Pokemon,,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_(TCG),2026-09-22,pokellector.com/Radiant-Collection-Expansion,
rc,rc-RC16,RC16/RC25,Ursaring,Pokemon,,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_(TCG),2026-09-22,pokellector.com/Radiant-Collection-Expansion,
rc,rc-RC17,RC17/RC25,Audino,Pokemon,,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_(TCG),2026-09-22,pokellector.com/Radiant-Collection-Expansion,
rc,rc-RC18,RC18/RC25,Minccino,Pokemon,,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_(TCG),2026-09-22,pokellector.com/Radiant-Collection-Expansion,
rc,rc-RC19,RC19/RC25,Cinccino,Pokemon,,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_(TCG),2026-09-22,pokellector.com/Radiant-Collection-Expansion,
rc,rc-RC20,RC20/RC25,Elesa,Trainer,,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_(TCG),2026-09-22,pokellector.com/Radiant-Collection-Expansion,"Supporter card, not a Pokemon"
rc,rc-RC21,RC21/RC25,Shaymin-EX,Pokemon,,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_(TCG),2026-09-22,pokellector.com/Radiant-Collection-Expansion,
rc,rc-RC22,RC22/RC25,Reshiram,Pokemon,,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_(TCG),2026-09-22,pokellector.com/Radiant-Collection-Expansion,Full Art per search snippet
rc,rc-RC23,RC23/RC25,Emolga,Pokemon,,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_(TCG),2026-09-22,pokellector.com/Radiant-Collection-Expansion,
rc,rc-RC24,RC24/RC25,Mew-EX,Pokemon,,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_(TCG),2026-09-22,pokellector.com/Radiant-Collection-Expansion,Full Art per search snippet
rc,rc-RC25,RC25/RC25,Meloetta-EX,Pokemon,,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/Legendary_Treasures_(TCG),2026-09-22,pokellector.com/Radiant-Collection-Expansion,"Second Meloetta-EX printing in this subset (see RC11 note); Full Art per search snippet"
sp,sp-002,002/093,Hoppip,Pokemon,Common,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/Sample_Set_(TCG),2026-09-22,cross-checked against page table structure only (single-source data),Pokemon Center New York August 2002 sample cards
sp,sp-004,004/093,Koffing,Pokemon,Common,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/Sample_Set_(TCG),2026-09-22,cross-checked against page table structure only (single-source data),Pokemon Center New York August 2002 sample cards
sp,sp-016,016/093,Pikachu,Pokemon,Common,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/Sample_Set_(TCG),2026-09-22,cross-checked against page table structure only (single-source data),Pokemon Center New York August 2002 sample cards
sp,sp-019,019/093,Gastly,Pokemon,Common,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/Sample_Set_(TCG),2026-09-22,cross-checked against page table structure only (single-source data),Pokemon Center New York August 2002 sample cards
sp,sp-021,021/093,Machop,Pokemon,Common,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/Sample_Set_(TCG),2026-09-22,cross-checked against page table structure only (single-source data),Pokemon Center New York August 2002 sample cards
sp,sp-042,042/093,Machoke,Pokemon,Uncommon,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/Sample_Set_(TCG),2026-09-22,cross-checked against page table structure only (single-source data),Pokemon Center New York August 2002 sample cards
sp,sp-048,048/093,Chansey,Pokemon,Uncommon,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/Sample_Set_(TCG),2026-09-22,cross-checked against page table structure only (single-source data),Pokemon Center New York August 2002 sample cards
sp,sp-074,074/093,Rapidash,Pokemon,Rare,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/Sample_Set_(TCG),2026-09-22,cross-checked against page table structure only (single-source data),Pokemon Center New York August 2002 sample cards
sp,sp-083,083/093,Pichu,Pokemon,Rare,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/Sample_Set_(TCG),2026-09-22,cross-checked against page table structure only (single-source data),Pokemon Center New York August 2002 sample cards
sp,sp-088,088/093,Machamp,Pokemon,Rare,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/Sample_Set_(TCG),2026-09-22,cross-checked against page table structure only (single-source data),Pokemon Center New York August 2002 sample cards
wp,wp-jungle-60,60/64,Pikachu,Pokemon,,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/W_Promotional_cards_(TCG),2026-09-22,"multiple independent retailer listings (eBay, TCGplayer, Cardmarket, Danireon, Fusion Gaming)",W-stamped reprint of Jungle 60/64
wp,wp-fossil-50,50/62,Kabuto,Pokemon,,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/W_Promotional_cards_(TCG),2026-09-22,"multiple independent retailer listings (eBay, TCGplayer, SportsCardInvestor, Collectors.com)",W-stamped reprint of Fossil 50/62
wp,wp-base2-63,63/130,Wartortle,Pokemon,,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/W_Promotional_cards_(TCG),2026-09-22,"multiple independent retailer listings (eBay x4, Tier 1 Games, The Nerd Merchant)",W-stamped reprint of Base Set 2 63/130
wp,wp-teamrocket-19,19/82,Dark Arbok,Pokemon,,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/W_Promotional_cards_(TCG),2026-09-22,"multiple independent retailer listings (Collectors.com x2, eBay x2, SportsCardInvestor, pokemonwizard.com)",W-stamped reprint of Team Rocket 19/82
wp,wp-teamrocket-32,32/82,Dark Charmeleon,Pokemon,,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/W_Promotional_cards_(TCG),2026-09-22,"multiple independent retailer listings (CardTrader, TCGplayer, PriceCharting, 6+ card shops)",W-stamped reprint of Team Rocket 32/82
wp,wp-gymheroes-54,54/132,Misty's Psyduck,Pokemon,,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/W_Promotional_cards_(TCG),2026-09-22,"multiple independent retailer listings (eBay, SportsCardInvestor, DACardWorld, Danireon)",W-stamped reprint of Gym Heroes 54/132
wp,wp-gymchallenge-37,37/132,Brock's Vulpix,Pokemon,,bulbapedia,https://bulbapedia.bulbagarden.net/wiki/W_Promotional_cards_(TCG),2026-09-22,"multiple independent retailer listings (eBay x3, AuctionNinja, Gizmotrims, KoboldsKeep, The Warp Gate)",W-stamped reprint of Gym Challenge 37/132
