set_name,card_id,collector_number,card_name,card_type,rarity,status,exclusion_reason,source_provider,source_url,source_retrieved_at,verification_source,notes
Adidas collaboration card,ADC1-EN001,ADC1-EN001,Dark Magician,Normal Monster,Secret Rare,include,,pricecharting,https://www.pricecharting.com/game/yugioh-addidas/dark-magician-adc1-en001,2026-09-22,"multiple independent retailer listings (eBay, Fanatics Collect, StockX, TCGplayer)","Released with adidas Adi2000 sneakers, 2023-01-26. Some listings/sources classify this as 'Prismatic Secret Rare' rather than plain 'Secret Rare' -- flagged for review; using 'Secret Rare' per explicit product instruction."
Kaiba's Collector Box,KACB-EN001,KACB-EN001,Blue-Eyes White Dragon,Normal Monster,Ultra Rare,include,,collectorscache,https://www.collectorscache.com/catalog/yugioh_singles-english_yugioh_promos/blueeyes_white_dragon__kacben001__ultra_rare__kaibas_collector_box/595673,2026-09-22,"multiple independent retailer listings (eBay, TCGplayer, ToyWiz, PriceCharting)","Standard-size promo only. The Starter Deck (50 cards) and booster contents bundled in this box belong to their own existing sets, not modeled here."
Kaiba's Collector Box,KACB-EN001-OVERSIZED,KACB-EN001,Blue-Eyes White Dragon (Oversized),Normal Monster,,excluded_special_format,oversized_physical_format_requires_dedicated_catalog,collectorscache,https://www.collectorscache.com/catalog/yugioh_singles-english_yugioh_promos/blueeyes_white_dragon__kacben001__jumbo_oversized_promo__kaibas_collector_box/595674,2026-09-22,"Collector's Cache LLC lists this as a separate 'JUMBO OVERSIZED Promo' catalog entry under the same code, distinct from the standard-size listing",Real physical oversized card confirmed to exist alongside the standard version; excluded from the standard catalog per product decision -- same reasoning/roadmap as the Pokemon jumbo exclusion.
Yugi's Collector Box,YUCB-EN001,YUCB-EN001,Dark Magician,Normal Monster,Ultra Rare,include,,collectorscache,https://www.collectorscache.com/catalog/yugioh_singles-english_yugioh_promos/dark_magician__yucben001__ultra_rare__yugis_collector_box/592047,2026-09-22,"multiple independent retailer listings (eBay, PriceCharting, TheSideDeck)",Standard-size promo only.
Yugi's Collector Box,YUCB-EN001-OVERSIZED,YUCB-EN001,Dark Magician (Oversized),Normal Monster,,excluded_special_format,oversized_physical_format_requires_dedicated_catalog,collectorscache,https://www.collectorscache.com/catalog/yugioh_singles-english_yugioh_promos/dark_magician__yucben001__jumbo_oversized_promo__yugis_collector_box/592048,2026-09-22,"Collector's Cache LLC lists this as a separate 'JUMBO OVERSIZED Promo' catalog entry under the same code",Real physical oversized card confirmed; excluded from the standard catalog per product decision.
The Lost Art Promotion 2023 D,LART-EN057,LART-EN057,Senju of the Thousand Hands,Effect Monster,Ultra Rare,include,,tcgplayer,https://www.tcgplayer.com/product/493086/yugioh-the-lost-art-promotion-senju-of-the-thousand-hands,2026-09-22,"multiple independent retailer listings (eBay UK, eBay US, Face to Face Games, yugiohprices.com, underhillgaming.com, gameden.com); card_type cross-checked against db.ygoprodeck.com/api","Lost Art Promotion naming/grouping varies across databases -- YGOPRODeck's cardsets.php lists dated sub-groups (e.g. '2023 D') separately from a generic 'series' entry seen elsewhere. Verify grouping if reconciling against another source later."
Yu-Gi-Oh! Power of Chaos: Yugi the Destiny Limited Collector's Edition,PCY-001,PCY-001,Windstorm of Etaqua,Trap Card,Prismatic Secret Rare,excluded_special_format,duplicate_canonical_printing_already_in_primary_data,yugipedia,"https://yugipedia.com/wiki/Set_Card_Galleries:Yu-Gi-Oh!_Power_of_Chaos:_Yugi_the_Destiny_Limited_Collector's_Edition_(TCG-NA-UE)",2026-09-22,"card_type cross-checked directly against db.ygoprodeck.com/api/v7/cardinfo.php; direct Yugipedia page fetch returned HTTP 403, sourced via search-engine snippet of that page instead","CORRECTED 2026-09-23: originally marked 'include' with a note claiming these were distinct canonical products -- that assessment was wrong. All 5 names/codes/rarities are already present in primary YGOPRODeck data under the sibling canonical set 'Yu-Gi-Oh! Power of Chaos: Yugi the Destiny promotional cards' (identical tcg_date 2003-11-18), and cardsets.php itself lists this 'Limited Collector's Edition' entry with num_of_cards=2, not 5 -- a mismatch that should have been the tell. Removed as a duplicate canonical printing; the Limited Collector's Edition is a product/release grouping over the same underlying cards, not a second canonical card set. See database/data/ygoprodeck-supplemental/README.md."
Yu-Gi-Oh! Power of Chaos: Yugi the Destiny Limited Collector's Edition,PCY-002,PCY-002,Anti-Spell Fragrance,Trap Card,Prismatic Secret Rare,excluded_special_format,duplicate_canonical_printing_already_in_primary_data,yugipedia,"https://yugipedia.com/wiki/Set_Card_Galleries:Yu-Gi-Oh!_Power_of_Chaos:_Yugi_the_Destiny_Limited_Collector's_Edition_(TCG-NA-UE)",2026-09-22,"card_type cross-checked directly against db.ygoprodeck.com/api/v7/cardinfo.php; direct Yugipedia page fetch returned HTTP 403, sourced via search-engine snippet of that page instead",See PCY-001 notes.
Yu-Gi-Oh! Power of Chaos: Yugi the Destiny Limited Collector's Edition,PCY-003,PCY-003,Thousand Knives,Spell Card,Prismatic Secret Rare,excluded_special_format,duplicate_canonical_printing_already_in_primary_data,yugipedia,"https://yugipedia.com/wiki/Set_Card_Galleries:Yu-Gi-Oh!_Power_of_Chaos:_Yugi_the_Destiny_Limited_Collector's_Edition_(TCG-NA-UE)",2026-09-22,"card_type cross-checked directly against db.ygoprodeck.com/api/v7/cardinfo.php; direct Yugipedia page fetch returned HTTP 403, sourced via search-engine snippet of that page instead",See PCY-001 notes.
Yu-Gi-Oh! Power of Chaos: Yugi the Destiny Limited Collector's Edition,PCY-004,PCY-004,Dark Magician,Normal Monster,Prismatic Secret Rare,excluded_special_format,duplicate_canonical_printing_already_in_primary_data,yugipedia,"https://yugipedia.com/wiki/Set_Card_Galleries:Yu-Gi-Oh!_Power_of_Chaos:_Yugi_the_Destiny_Limited_Collector's_Edition_(TCG-NA-UE)",2026-09-22,"card_type cross-checked directly against db.ygoprodeck.com/api/v7/cardinfo.php; direct Yugipedia page fetch returned HTTP 403, sourced via search-engine snippet of that page instead",See PCY-001 notes.
